organo,n_pacientes,n_voxeles,media,sd,p25,p50,p75,p90,p95,p99,rel_p25,rel_p50,rel_p75,rel_p90,rel_p95,rel_p99,mediana_entre_pacientes,sd_entre_pacientes,cv_entre_pacientes,cv_entre_pacientes_rel
otro,35,49099708,0.634,0.703,0.295,0.515,0.805,1.155,1.455,2.285,0.135,0.225,0.365,0.525,0.655,1.035,0.515,0.172,0.334,0.353
hueso,35,4328753,0.993,0.559,0.615,0.905,1.265,1.705,2.035,2.735,0.275,0.415,0.585,0.775,0.925,1.245,0.895,0.161,0.179,0.198
musculo,35,4199675,0.749,0.318,0.535,0.695,0.895,1.135,1.315,1.765,0.245,0.315,0.415,0.515,0.595,0.815,0.695,0.151,0.218,0.203
pulmon,35,4152587,0.573,0.407,0.355,0.505,0.705,0.955,1.135,1.605,0.165,0.235,0.325,0.435,0.525,0.735,0.525,0.127,0.241,0.232
intestino,35,2470919,1.383,1.576,0.705,1.135,1.625,2.215,2.785,8.015,0.315,0.515,0.735,0.975,1.215,3.395,1.125,0.235,0.209,0.205
higado,35,2046261,2.208,0.616,1.835,2.185,2.575,2.965,3.225,3.795,0.865,1.005,1.135,1.275,1.365,1.585,2.175,0.294,0.135,0.0
corazon,35,753821,2.792,2.673,1.545,1.965,2.625,5.445,8.655,14.695,0.715,0.875,1.165,2.485,4.035,7.265,1.985,0.418,0.211,0.204
vasos,35,670357,1.732,0.564,1.365,1.685,2.045,2.395,2.635,3.195,0.635,0.775,0.915,1.055,1.155,1.405,1.685,0.226,0.134,0.089
estomago,35,463097,1.101,0.826,0.525,0.955,1.515,2.065,2.455,3.415,0.235,0.425,0.695,0.955,1.115,1.535,1.075,0.463,0.43,0.451
rinones,35,417978,2.457,1.18,1.695,2.265,2.975,3.865,4.585,6.335,0.785,1.035,1.345,1.725,2.045,2.865,2.285,0.308,0.135,0.106
bazo,35,297730,1.754,0.531,1.425,1.755,2.075,2.395,2.625,3.165,0.655,0.795,0.945,1.085,1.175,1.375,1.655,0.289,0.175,0.138
vejiga,35,178125,11.232,7.858,6.545,9.085,13.855,24.435,30.005,30.005,2.965,4.095,6.385,10.665,12.925,15.295,8.735,7.425,0.85,0.71
otros_organos,35,164059,1.203,0.764,0.755,1.085,1.505,1.945,2.245,3.135,0.345,0.495,0.685,0.875,1.015,1.445,1.075,0.181,0.168,0.162
pancreas_suprarrenales,35,105684,1.56,0.479,1.235,1.535,1.845,2.165,2.385,2.885,0.555,0.705,0.855,0.985,1.085,1.305,1.585,0.206,0.13,0.153
tiroides_esofago_traquea,35,95110,1.34,0.706,0.795,1.245,1.735,2.245,2.595,3.465,0.365,0.575,0.785,1.005,1.165,1.575,1.215,0.224,0.184,0.144
encefalo,0,0,,,,,,,,,,,,,,,,,,
