organo,n_pacientes,n_voxeles,media,sd,p25,p50,p75,p90,p95,p99,rel_p25,rel_p50,rel_p75,rel_p90,rel_p95,rel_p99,mediana_entre_pacientes,sd_entre_pacientes,cv_entre_pacientes,cv_entre_pacientes_rel
otro,176,245364271,0.628,0.66,0.315,0.515,0.785,1.125,1.425,2.285,0.135,0.235,0.355,0.515,0.655,1.055,0.515,0.11,0.214,0.3
hueso,176,22324380,0.983,0.57,0.595,0.885,1.255,1.705,2.035,2.775,0.265,0.405,0.575,0.795,0.955,1.325,0.895,0.176,0.197,0.237
musculo,176,21993884,0.72,0.306,0.515,0.665,0.855,1.085,1.255,1.715,0.235,0.305,0.395,0.495,0.575,0.815,0.675,0.134,0.199,0.222
pulmon,176,21040664,0.568,0.364,0.355,0.495,0.695,0.955,1.155,1.635,0.165,0.225,0.325,0.445,0.535,0.765,0.515,0.129,0.25,0.249
intestino,176,12445567,1.361,1.449,0.725,1.135,1.625,2.195,2.725,6.695,0.335,0.525,0.735,0.985,1.205,3.125,1.15,0.235,0.205,0.202
higado,176,10527568,2.195,0.657,1.755,2.165,2.605,3.025,3.305,3.885,0.865,1.005,1.125,1.265,1.355,1.575,2.205,0.394,0.179,0.0
corazon,176,3966678,2.646,2.602,1.525,1.945,2.545,4.475,7.395,15.515,0.705,0.875,1.135,2.105,3.525,7.735,1.955,0.467,0.239,0.254
vasos,176,3500637,1.732,0.575,1.355,1.685,2.055,2.415,2.665,3.235,0.635,0.775,0.915,1.065,1.175,1.505,1.745,0.269,0.154,0.141
estomago,176,2650046,1.034,0.793,0.455,0.875,1.415,2.005,2.445,3.575,0.205,0.395,0.655,0.925,1.115,1.665,0.99,0.463,0.468,0.481
rinones,176,2158722,2.477,1.345,1.675,2.275,3.025,3.905,4.605,6.505,0.785,1.045,1.355,1.765,2.105,3.065,2.315,0.429,0.185,0.154
bazo,173,1605862,1.856,0.728,1.435,1.785,2.165,2.575,2.935,4.725,0.665,0.825,0.985,1.155,1.305,1.855,1.755,0.377,0.215,0.179
vejiga,176,879208,11.505,8.27,5.805,9.085,14.925,27.455,30.005,30.005,2.855,4.235,6.955,11.175,13.255,16.535,10.65,7.657,0.719,0.679
otros_organos,176,815124,1.221,0.774,0.775,1.105,1.525,1.975,2.305,3.185,0.355,0.505,0.695,0.895,1.045,1.455,1.13,0.201,0.178,0.174
pancreas_suprarrenales,176,520140,1.515,0.514,1.175,1.475,1.795,2.145,2.395,3.015,0.525,0.675,0.835,0.995,1.095,1.365,1.48,0.249,0.168,0.185
tiroides_esofago_traquea,176,497422,1.3,0.671,0.795,1.225,1.695,2.145,2.465,3.235,0.365,0.555,0.765,0.985,1.135,1.525,1.215,0.256,0.211,0.205
encefalo,0,0,,,,,,,,,,,,,,,,,,
