organo,n_pac_controles,n_pac_train,p50_controles,p50_train,dif_p50,p95_controles,p95_train,dif_p95,dif_p95_rel
bazo,35,173,1.755,1.785,0.03,2.625,2.935,0.31,0.118
otros_organos,35,176,1.085,1.105,0.02,2.245,2.305,0.06,0.027
higado,35,176,2.185,2.165,-0.02,3.225,3.305,0.08,0.025
pulmon,35,176,0.505,0.495,-0.01,1.135,1.155,0.02,0.018
vasos,35,176,1.685,1.685,0.0,2.635,2.665,0.03,0.011
rinones,35,176,2.265,2.275,0.01,4.585,4.605,0.02,0.004
pancreas_suprarrenales,35,176,1.535,1.475,-0.06,2.385,2.395,0.01,0.004
hueso,35,176,0.905,0.885,-0.02,2.035,2.035,0.0,0.0
vejiga,35,176,9.085,9.085,0.0,30.005,30.005,0.0,0.0
estomago,35,176,0.955,0.875,-0.08,2.455,2.445,-0.01,-0.004
otro,35,176,0.515,0.515,0.0,1.455,1.425,-0.03,-0.021
intestino,35,176,1.135,1.135,0.0,2.785,2.725,-0.06,-0.022
musculo,35,176,0.695,0.665,-0.03,1.315,1.255,-0.06,-0.046
tiroides_esofago_traquea,35,176,1.245,1.225,-0.02,2.595,2.465,-0.13,-0.05
corazon,35,176,1.965,1.945,-0.02,8.655,7.395,-1.26,-0.146
encefalo,0,0,,,,,,,
